crop,test_rows,MAE_tonnes,RMSE_tonnes,WAPE_percent,sMAPE_percent
Tomato,178,13385.406669919264,19927.569654956715,17.89982549059177,17.160582297022177
Potato,178,43893.70532059342,56860.04349299001,18.035434913051557,19.919675581501277
Cauliflower,178,5140.212179810545,7905.1791286499865,24.15183059914628,23.739456794032268
Ginger,178,2880.3623524296754,4450.020201660225,25.70347666338222,24.096721058276636
Apple,178,18570.454214487174,31806.586010206265,26.32167690488186,30.73352466174999
Green Chilli,178,5381.044665697814,6831.130755282039,26.893898957322214,28.997698878775648
Garlic,178,8294.812963880355,11174.689090706006,28.426267775386954,30.11196076701877
Onion,178,104919.1962280285,133474.00186245202,28.926832959635913,28.342861799702092
Bengal Gram,178,12453.431724910859,21335.996924510524,29.13840334505988,28.015655279062766
Carrot,178,3249.818996139634,4756.912755884507,30.898388406952783,32.0581720382523
Groundnut,178,13073.56019316884,20394.063481641584,31.897565637228887,31.859091674487637
Wheat,178,160564.1063123735,352473.41263123293,34.13642067821337,30.59532094352546
Maize,178,37856.54492667874,56988.566267867755,35.338469078450366,33.14551752003455
Mustard,178,21688.774041738114,39422.64645952939,36.240227273088024,34.61325528182251
Arhar (Tur-Red Gram),178,7183.137310410939,19929.79534456039,36.99519266048819,36.160742259531695
Pomegranate,16,2409.362098410968,2985.858116299579,37.077826124142696,41.97387530933069
Guava,178,970.9435109134428,1925.9946899117701,38.47107050228435,33.584378377171525
Orange,178,2173.482143448685,3138.2268521058418,39.44273908150818,49.82868252602063
Cabbage,178,10947.694795799658,16669.61062620679,41.3955282441174,39.31650937270583
Brinjal,178,10553.129578769242,16522.672544263878,43.293069152463126,38.01665274879519
Soybean,178,48394.03992277892,73560.51721456,44.84542347773422,48.02961071441698
Mango,178,11040.960408023524,25772.570375822954,46.57229324025722,81.53658038765883
Papaya,16,3417.014820088316,5018.040928762869,47.53900884432247,56.31038890847394
Cotton,178,33925.98565972197,46228.291302570375,48.62413029894157,64.35173437126873
Bitter Gourd,178,10599.798809906819,15269.291919856376,73.38834582319284,84.14675890917546
Bottle Gourd,178,17655.951191945358,24093.215488078466,75.3939599436088,96.58969657295971
Spinach,178,30945.296989765517,32264.85127349409,89.75741709726056,161.8904092574575
Banana,178,36790.07998005066,41549.73596671933,102.64271825451414,70.40647380677883
Sugarcane,96,1839.2904885120377,5360.6281510335,104.29710890768573,116.48568072977056
Rice,178,89647.18691842335,92366.73013894031,107.03846070711755,74.10950325415236
